aminoglutethimide	CYP19A1#P|CYP11A1#P	PNKP#P|XIST#P|RPS4Y1#P|MYLK#P
pentobarbital	GABRA1#P|GABRA2#P|GABRA3#P|GABRA4#P|GABRA5#P|GABRA6#P|GABRA1#P	HMGCR#P|SNX6#P|TMEM2#P|ABCF3#P|GINS2#P|BHLHE40#P|DUT#P|MYC#P|FOXM1#P|SPAG9#P|TPX2#P|S100A13#P|HSPA4#P|FBXO5#P|NRDC#P|HDLBP#P|GOLGB1#P|UFM1#P|SUV39H1#P|BSDC1#P|PXMP2#P|EMC9#P|HERPUD1#P|RNF114#P|HSPA6#P|TTK#P|DNAJC3#P|DERA#P|CHMP4A#P|CCNB2#P|SQSTM1#P|RPIA#P|ARHGEF2#P|CCNB1#P|PRR7#P|CTSL#P|TES#P|YKT6#P|CCNA2#P|DLGAP5#P|SMURF1#P|KCNK1#P|FANCI#P|MAP7#P|P4HA2#P|SLC7A11#P|MCM3#P|DCP1A#P|TOMM34#P|IGHMBP2#P|CENPA#P|COMMD8#P|IST1#P|FANCL#P|STMN1#P|CDC7#P|CENPM#P|LIG1#P|KDM3A#P|BAG3#P|LMNB1#P|FBXL12#P|PSMD2#P|TIMM9#P|HAT1#P|SNX11#P|CASK#P|CBX5#P|CDK2#P|GMNN#P|TCEAL4#P|DHRS7#P|ARMT1#P|KIF14#P|AMDHD2#P|HEBP1#P|BIRC5#P|CASP7#P|HMGCS1#P|TSPAN3#P|WRB#P|MCM4#P|KDM5A#P|DNAJB1#P|PPP1R15A#P|CRIP2#P|MIF#P|RALB#P|RAD9A#P|KIF15#P|DNAJC9#P|FKBP14#P|GNL2#P|IPO9#P|TLK2#P|LYPLA1#P|MUC1#P|ASPM#P|DHDDS#P|GALE#P|C2CD5#P|MPZL1#P|TGFB3#P|KCMF1#P|GTSE1#P|ATF5#P|PRKRIP1#P|DAP3#P|CALU#P|TRIB1#P|GOLT1B#P|FEN1#P|ISOC1#P|TACC3#P|GABPB1#P|ARF4#P|CNOT4#P|RALGDS#P|RRM2#P|ZFP36#P|ZRSR2#P|DNTTIP2#P|TMEM106C#P|CDKN3#P|AKR7A3#P|LSM2#P|TXNL4B#P|TK1#P|HPRT1#P|POLR2L#P|AKT1#P|DDIT4#P|AKR7A2#P|CENPU#P|FASTKD5#P|ZWINT#P|NFKBIA#P|BUB1#P|KIF18B#P|SLC27A3#P|CHEK2#P|FKBP3#P|ATP2C1#P|NSDHL#P|PRC1#P|ITGAE#P|NRIP1#P|CDKN1A#P|EIF5#P|KIF4A#P|GORASP2#P|HIST1H2BK#P|ANXA9#P|NEK2#P|PHTF1#P|ZNF473#P|TM9SF2#P|MRPS16#P|RAD51AP1#P|CDKN2C#P|ILK#P|GABARAPL1#P|POP1#P|DNAJB2#P|GFPT1#P|KLHL18#P|IGF2BP2#P|IER3#P|IARS2#P|RNMT#P|KDELR2#P|MAN2B1#P|TRMT5#P|OSBPL2#P|PRSS23#P|BRAF#P|MAD2L1#P|FBXO7#P|OIP5#P|DDIT3#P|PPME1#P|F13A1#P|AHSA1#P|DCK#P|ICAM3#P|MRPS34#P|YRDC#P|LGMN#P|LPIN1#P|SNRPE#P|MELK#P|MYO10#P|NOP2#P|SLC35A1#P|FOSL1#P|KTN1#P|CHORDC1#P|CA9#P|CAMSAP1#P|MCM6#P|SIVA1#P|SMC4#P|TOP2A#P|PEG10#P|CDK1#P|VGLL4#P|HSPD1#P|ARID4B#P|NAT1#P|KCTD5#P|HMGB2#P|NR2F6#P|TMEM87A#P|TXNRD1#P|NUP37#P|NDC80#P|MCM2#P|MTERF3#P|PSME1#P|CAPN1#P|RPN1#P|AURKB#P|UBE2C#P|CIRBP#P|TP53#P|ELOVL6#P|RSRC2#P|SLC35A3#P|KEAP1#P|CDCA4#P|MRPS11#P|PNP#P|GATA3#P|TERF2IP#P|DDB2#P|ERCC3#P|CDT1#P|SKP2#P|HAUS4#P|CENPF#P|HIST2H2BE#P|ESRP2#P|CEP55#P|PSRC1#P|B4GAT1#P|RAD51C#P|DCAF10#P|LAGE3#P|HIST1H2BD#P|TUBB6#P|PRIM1#P|BLMH#P|NCAPH#P|OXCT1#P|NET1#P|SIRT7#P|HMGN2#P|IFRD1#P|KIF11#P|MED8#P|USP1#P|STUB1#P|DHFR#P|KLHL21#P|VRK1#P|JUN#P|ICAM1#P|TYMS#P|SENP6#P|GADD45A#P|MYBL2#P|PINK1#P|CKS1B#P|BUB3#P|PPIC#P|HSPA5#P|TMEM14A#P|BAMBI#P|BDH1#P|IP6K2#P|NUDT1#P|MAFG#P|TROAP#P|FXR1#P|NDUFA7#P|RPA3#P|MRPL16#P|NFIL3#P|RFC5#P|NUSAP1#P|TSPAN4#P|KIF20A#P|SLC35F2#P|CLCN6#P|DNAJB6#P|CCNF#P|DNM1L#P|ASF1B#P|SLC35B1#P|TBL2#P|PMEPA1#P|HSPH1#P|PTTG1#P|CTSD#P|MAP1LC3B#P|PYGL#P|RACGAP1#P|HJURP#P|DTYMK#P|TFG#P|LSM6#P|PCMT1#P|USP7#P|LAMB3#P|CDK4#P|SFTPA2#P|HYOU1#P|DEPDC1#P|CDCA3#P|CDC20#P|SLC3A2#P|LSM5#P|SERINC1#P|ARHGAP1#P|RAE1#P|SPDEF#P|AURKA#P|POLE2#P|GCC1#P|PBK#P|HIST1H2BH#P|PRR15L#P|DCTN5#P|EDEM1#P|MTHFD2#P|GLRX#P|NSL1#P|UBR7#P|SPTLC2#P|NPC1#P|ABHD4#P|EED#P|HSPA9#P|OSGIN1#P|SCAND1#P|TIMELESS#P|XBP1#P|DDX27#P|ECI1#P|PBX1#P|TIMM17B#P|PCNA#P|KLC1#P|CDCA8#P|HSP90AB1#P|STX1A#P|HADH#P|HMMR#P|ITGB3BP#P|ME1#P|DTL#P|COPB2#P|MICALL1#P|HSPA1A#P|GINS1#P|MPC2#P|CALCOCO2#P|DNAJC15#P|SETD2#P|DNAJA1#P|HIST1H2AJ#P|TSC22D3#P|PIN1#P|FOXO4#P|BNIP3#P|YPEL5#P|ATF4#P|MED17#P|ALDOC#P|PEX11B#P|SCP2#P|NDUFB6#P|GTF2A2#P|HACD3#P|C3orf14#P|WDR61#P|NXF1#P|DEK#P|NUCB2#P|MVP#P|TAX1BP1#P|ESR1#P|RFX5#P|SNIP1#P|RELA#P|JMJD6#P
toremifene	ESR1#P	IER3#P
sulpiride	DRD2#P	GPC1#P
zileuton	ALOX5#P	CXCL2#P
daunorubicin	TOP2A#P|TOP2B#P	NUP85#P|ERBB2#P|CCNB2#P|CDH3#P|ST6GALNAC2#P|ITGB1BP1#P|MALT1#P|ID2#P|XPNPEP1#P|DENND2D#P|BUB1#P|ATP1B1#P|NRIP1#P|EIF5#P|PARP2#P|ECH1#P|ZDHHC6#P|MAD2L1#P|MELK#P|EXOSC9#P|ACAA1#P|MTERF3#P|TM9SF3#P|GNB5#P|PWP1#P|USP1#P|CTNNAL1#P|PINK1#P|RNASEH2A#P|KIF20A#P|NUP62#P|LOXL1#P|RACGAP1#P|EZH2#P|CD320#P|PAN2#P|HADH#P|GINS2#P|TMPO#P|TPX2#P|SUV39H1#P|ATG3#P|YKT6#P|CCNA2#P|P4HA2#P|MCM3#P|LRPAP1#P|CDC23#P|HAT1#P|GMNN#P|ATMIN#P|HMGCS1#P|TIPIN#P|PHGDH#P|TMEM109#P|TRAPPC6A#P|HMOX1#P|CHEK2#P|BECN1#P|MICAL1#P|LBR#P|PLA2G15#P|ANP32B#P|PRSS23#P|HIF1A#P|ECT2#P|DCK#P|CEBPD#P|PLSCR3#P|SMC4#P|TOP2A#P|HMGB2#P|MRPS2#P|RFC4#P|CAT#P|CDCA4#P|HIST2H2BE#P|PSRC1#P|NET1#P|VRK1#P|MCOLN1#P|H2AFZ#P|SOX4#P|RRP1B#P|IFRD2#P|STAP2#P|RAE1#P|TTK#P|PLEKHM1#P|DLGAP5#P|TIPARP#P|POP4#P|TIMM9#P|CBX3#P|UMPS#P|TLE1#P|ITGB5#P|PIK3C2B#P|CDKN1A#P|DNAJB2#P|SMAD3#P|P4HTM#P|RIN1#P|ACADVL#P|ASCC3#P|GEMIN2#P|AURKB#P|ELOVL6#P|GATA3#P|XIST#P|DHFR#P|GADD45A#P|DDX10#P|PPIC#P|RFC3#P|FOS#P|RPL39L#P|PSMG1#P|GAA#P|RMI1#P|AURKA#P|DCLRE1B#P|ABHD4#P|TIMELESS#P|GNAI1#P|RNPS1#P|NAT10#P|TMEM2#P|SH3BP5#P|CCDC92#P|KDM5B#P|CANT1#P|CCNB1#P|ALDH7A1#P|CTSL#P|CLTB#P|RPP30#P|LPGAT1#P|DECR1#P|TMEM97#P|INPP1#P|GABPB1#P|BORA#P|CDKN3#P|DDIT4#P|YTHDF1#P|TRAPPC3#P|PUF60#P|MCM10#P|POMGNT1#P|POLE#P|MCM6#P|BUB1B#P|UBE2C#P|MYLIP#P|NUP88#P|DDB2#P|TOPBP1#P|TUBB6#P|PRIM1#P|NCAPH#P|ENOPH1#P|MYBL2#P|BLCAP#P|TCERG1#P|DNAJB6#P|RANBP1#P|CDC45#P|PCMT1#P|POLE2#P|UBR7#P|NPC1#P|PCNA#P|DTL#P|GINS1#P|LRP10#P|CENPN#P|SPATA20#P|MCUR1#P|CAB39#P|GALE#P|HIST3H2A#P|DERA#P|FAS#P|SESN1#P|CALCOCO1#P|BIRC5#P|YPEL5#P|APPBP2#P|U2AF1#P|RPA3#P|CDC20#P
felbamate	GRIN2B#P|GRIN3A#P|GRIN2A#P	HMOX1#P
amcinonide	NR3C1#P	SNAP25#P|TLR4#P|MYLK#P|PRKCH#P|PAK1#P
hydroflumethiazide	SLC12A1#P	HMOX1#P
dolasetron	HTR3A#P	HMOX1#P
fenoldopam	DRD5#P|DRD1#P	SPP1#P|CASP10#P
