aminoglutethimide	CYP19A1#P|CYP11A1#P	PNKP#P|XIST#P|RPS4Y1#P|MYLK#P
pralatrexate	DHFR#P|TYMS#P	PLK1#P|KLHDC2#P|MRPL19#P|NOLC1#P|TMEM2#P|GINS2#P|CALCOCO1#P|ERBB2#P|ECD#P|CHODL#P|FOXM1#P|MCUR1#P|TPX2#P|TNIP1#P|SYNCRIP#P|CDC25C#P|YME1L1#P|TTK#P|DERA#P|DARS2#P|CCNB2#P|SQSTM1#P|KNOP1#P|CCNB1#P|DLAT#P|ALDH7A1#P|FAS#P|CDK19#P|XPC#P|NCBP1#P|ACAT2#P|YKT6#P|CCNA2#P|DLGAP5#P|DUSP4#P|TXNDC9#P|HNRNPD#P|MCM3#P|DKC1#P|CENPA#P|STMN1#P|POP4#P|FDFT1#P|LIG1#P|DBF4#P|TSC22D3#P|MTA1#P|ST6GALNAC2#P|FBXL12#P|PSMD2#P|GSTM1#P|ELAVL1#P|RRP15#P|PARPBP#P|SRSF7#P|NCK2#P|SPAG7#P|DUSP3#P|KIF14#P|BCAT1#P|TNFRSF10B#P|BIRC5#P|PKIG#P|WRB#P|GTF2E2#P|PEX3#P|PRR14#P|IL4R#P|EPB41L2#P|SLC25A32#P|AARS#P|MYCBP#P|ASPM#P|ID2#P|DPH2#P|HERC6#P|TIPIN#P|GTSE1#P|RAP1GAP#P|PHGDH#P|TRIB1#P|RUVBL1#P|UMPS#P|GOLT1B#P|INPP1#P|GABPB1#P|NEIL3#P|UBE3C#P|ZFP36#P|ARPP19#P|BORA#P|ITGA3#P|PRAF2#P|CDKN3#P|ZMAT3#P|SESN1#P|DDIT4#P|TRAPPC6A#P|TLE1#P|NFKBIA#P|FAH#P|BUB1#P|PPP1R13L#P|CHEK2#P|BECN1#P|NSDHL#P|PRC1#P|ATP1B1#P|RBM34#P|ITGAE#P|KIF18A#P|ANAPC10#P|CDKN1A#P|MAPK8IP3#P|EIF5#P|NEDD9#P|KIF4A#P|SFPQ#P|NEK2#P|ANKRA2#P|PARP2#P|G3BP1#P|XPO7#P|LBR#P|ECH1#P|SCYL3#P|CLTC#P|DNAJB2#P|IARS2#P|CRYZ#P|SMAD3#P|PRPF4#P|CNDP2#P|NRAS#P|LRP10#P|PUF60#P|OIP5#P|ALDOC#P|NPDC1#P|SLC25A13#P|MCM10#P|EPHA2#P|MRPL12#P|NAALAD2#P|APPBP2#P|CCDC86#P|FOSL1#P|NFKBIL1#P|VBP1#P|SPC25#P|GTF2A2#P|CEP57#P|SMC4#P|ANXA7#P|EPHA3#P|TOP2A#P|BUB1B#P|CDK1#P|HSPD1#P|ARID4B#P|PIK3R4#P|HMGB2#P|GRWD1#P|SPSB3#P|MTERF3#P|CBR1#P|AURKB#P|SYF2#P|UBE2C#P|CIRBP#P|TP53#P|ELOVL6#P|MRTO4#P|TCEA2#P|CREB1#P|KEAP1#P|NAA15#P|WDR61#P|SPAG5#P|GSTM2#P|TMX2#P|DDB2#P|CENPI#P|PDHX#P|GNB5#P|CENPF#P|HIST2H2BE#P|CEP76#P|PSRC1#P|KPNA2#P|BLMH#P|OXCT1#P|PDGFA#P|IDE#P|FHL2#P|PDLIM1#P|ERCC6L#P|ENOPH1#P|SSR1#P|DDX10#P|OXA1L#P|UCHL5#P|HDAC2#P|SPEN#P|ORAI3#P|MAST2#P|ABCB6#P|BDH1#P|SPATA20#P|HNRNPAB#P|SRSF3#P|HSPA14#P|GCC2#P|RFC5#P|MVP#P|TRIM22#P|BLCAP#P|NUSAP1#P|KIF20A#P|GRN#P|NPEPL1#P|CCNF#P|SPDL1#P|DNM1L#P|ATF6#P|PTTG1#P|GAA#P|SNCA#P|PYGL#P|HJURP#P|SERPINE1#P|COQ3#P|PLCB3#P|ALG3#P|PCMT1#P|RMI1#P|USP7#P|CYCS#P|HNRNPA2B1#P|POLD4#P|WDTC1#P|SPTAN1#P|DEPDC1#P|CDCA3#P|CDC20#P|CALM3#P|TPP1#P|CCNC#P|SPDEF#P|CCNG1#P|AURKA#P|GHR#P|POLE2#P|PBK#P|RFX5#P|TSEN2#P|SPTLC2#P|EZH2#P|PSMA4#P|FDXR#P|EED#P|ACLY#P|CD320#P|NFATC3#P|SETDB1#P|PAN2#P|WDR45#P|BCLAF1#P|TEX10#P|CDCA8#P|PYCR1#P|CDK7#P|DHX29#P|STX1A#P|HMMR#P|RFNG#P|JMJD6#P|RHBDF1#P|CFLAR#P|ERBB3#P|NUP93#P|SNRPA1#P|PIDD1#P|MPC2#P|EFCAB14#P|PLXNB2#P|RRNAD1#P|TNFRSF21#P|FKBP14#P|PSMD14#P|RPP38#P|LETMD1#P|MAP3K4#P|DCK#P|ASAH1#P|NOTCH1#P|CENPE#P|BTG2#P|H2AFZ#P|SEC61G#P|HSD17B10#P|RAE1#P|ASF1A#P|TEFM#P|TBP#P|ABCE1#P
hydrocortisone	NR3C1#P|ANXA1#P	MELK#P|BASP1#P
rizatriptan	HTR1D#P|HTR1B#P|HTR1F#P	CSRP1#P
losartan	AGTR1#P	MYLK#P|GNAI1#P|MFSD10#P
nicergoline	ADRA1A#P	COL11A1#P
tazarotene	RARA#P|RXRB#P|RARG#P|RARB#P	LAMA3#P|KLHDC2#P|PEX11A#P|PLSCR1#P|SSBP2#P|SPR#P|HOXA5#P|PRKCD#P|FOXO3#P|HOXA4#P|PCMT1#P|TSKU#P|ATP1B1#P|NRIP1#P|HIST1H2BK#P|CEBPA#P|BAG3#P|TSC22D3#P|VAV3#P|ECH1#P|ST6GALNAC2#P|TUBB6#P|NPC1#P|SMAD3#P|PRCP#P|MAPK1IP1L#P|BACE2#P|PRSS23#P|DYNLT3#P|BAMBI#P|SKAP2#P|MUC1#P|SNAP25#P|SCYL3#P
nimesulide	PTGS2#P	MAPKAPK3#P
furosemide	SLC12A1#P	SNAP25#P|SPP1#P|MFSD10#P|NR3C1#P
leflunomide	DHODH#P	SNAP25#P
sildenafil	PDE5A#P	SNAP25#P
pindolol	ADRB1#P|ADRB2#P	MYLK#P
theophylline	ADORA1#P|ADORA2A#P|ADORA2B#P|PDE4B#P|PDE5A#P|PDE4A#P|PDE3A#P|HDAC2#P	MEF2C#P|C3orf14#P
clonidine	ADRA2A#P|ADRA2B#P|ADRA2C#P	MFSD10#P
lomitapide	MTTP#P	MFSD10#P
phentolamine	ADRA2A#P|ADRA1A#P	MFSD10#P|SPP1#P
bisoprolol	ADRB1#P	MYLK#P
ibutilide	CACNA1C#P|CACNB1#P|KCNH2#P	MYLK#P
metoclopramide	DRD2#P|CHRM1#P	SNAP25#P
dequalinium	XIAP#P	PUF60#P|GNAI1#P
menadione	GGCX#P|VKORC1#P|VKORC1L1#P	SNAP25#P
midodrine	ADRA1A#P|ADRA1B#P	MELK#P
bendroflumethiazide	SLC12A3#P|KCNMA1#P	SPP1#P
pyrimethamine	DHFR#P	TGFBR2#P|GTPBP8#P|SUV39H1#P|SPR#P|ADGRE5#P|STUB1#P|VAT1#P|GNAI1#P|NR3C1#P|DCK#P|SNCA#P|ME2#P
carbimazole	TPO#P	FAS#P|SPP1#P|STUB1#P|LSM5#P|TFF1#P|CXCL2#P
indacaterol	ADRB2#P	ADGRE5#P|ADO#P|NRIP1#P|BAG3#P|GNAI1#P|STUB1#P|NR3C1#P
ramipril	ACE#P	BAD#P|PPARG#P|NR3C1#P|EDEM1#P|TIMM9#P|TNIP1#P|TGFBR2#P|BAG3#P
pirenzepine	CHRM1#P	MRPS2#P|PPARG#P|TXNDC9#P|EIF5#P|TIMM9#P|GNAI1#P|ADO#P|VAV3#P|ABHD6#P
chlorpromazine	DRD2#P|DRD1#P|HTR1A#P|HTR2A#P|ADRA1A#P|ADRA1B#P|HRH1#P	STUB1#P|HERC6#P|TARBP1#P|AKR7A2#P|PTGS2#P|TGFBR2#P|E2F2#P|EDEM1#P|HMG20B#P
rotigotine	DRD3#P|DRD4#P|DRD2#P	SSBP2#P|PPARG#P
nortriptyline	SLC6A2#P|SLC6A4#P|HTR2A#P	MRPS2#P|PDHX#P|TIMM9#P|SPP1#P|PTGS2#P
betahistine	HRH1#P|HRH3#P	NRIP1#P|GNAI1#P
mercaptopurine	HPRT1#P	SPP1#P|SCYL3#P|FYN#P|ZNF586#P
capecitabine	TYMS#P	ADI1#P|DNAJB6#P|KIAA0100#P|SUV39H1#P|ZNF586#P|LAP3#P|SPP1#P|IARS2#P|STUB1#P|KIF14#P
triamterene	SCNN1G#P|SCNN1A#P|SCNN1B#P	STUB1#P|SNCA#P
doxorubicin	TOP2A#P	NUP85#P|ERBB2#P|FOXM1#P|CCNB2#P|DUSP4#P|TXNDC9#P|POLR2I#P|DBF4#P|PSIP1#P|BRCA1#P|NFKBIA#P|BUB1#P|ITGAE#P|PRKX#P|NRIP1#P|CASP2#P|PARP2#P|G3BP1#P|ECH1#P|ST7#P|MAN2B1#P|ZDHHC6#P|LRP10#P|STAT1#P|MELK#P|MTERF3#P|POLG2#P|CEBPA#P|GNB5#P|CDKN1B#P|FHL2#P|STUB1#P|HDAC2#P|NUP62#P|LOXL1#P|PBK#P|GLRX#P|CSRP1#P|CD320#P|CXCL2#P|MSH6#P|TPX2#P|FBXO5#P|YKT6#P|CCNA2#P|P4HA2#P|MCM3#P|LRPAP1#P|PMAIP1#P|TMEM109#P|CHEK2#P|BECN1#P|LBR#P|NUP133#P|ZW10#P|PRPF4#P|MRPL12#P|SMC4#P|TOP2A#P|HSPA8#P|SPAG4#P|HIST2H2BE#P|PSRC1#P|UGDH#P|PAICS#P|SERPINE1#P|RRP1B#P|IFRD2#P|TSEN2#P|PAFAH1B3#P|TTK#P|RPA2#P|DLGAP5#P|STMN1#P|FDFT1#P|TIMM9#P|SLC11A2#P|KIF14#P|EPB41L2#P|C2CD5#P|ARPP19#P|UBE2L6#P|ZMAT3#P|ITGB5#P|PIK3C2B#P|CDKN1A#P|TRIP13#P|HOXA5#P|ELOVL6#P|DDX10#P|PEX11A#P|MVP#P|PGRMC1#P|PIK3R3#P|SNCA#P|LSM5#P|AURKA#P|TFF1#P|TIMELESS#P|PYCR1#P|MICALL1#P|FIS1#P|NOLC1#P|TMEM2#P|MYC#P|SH3BP5#P|CCDC92#P|KDM5B#P|CANT1#P|CCNB1#P|CTSL#P|DHRS7#P|BIRC5#P|IL4R#P|YPEL5#P|KIF15#P|ASPM#P|LYPLA1#P|TMEM97#P|TGFBR2#P|INPP1#P|GTPBP8#P|TIMP2#P|RRAGA#P|KIF4A#P|MAP3K4#P|TRIM2#P|PUF60#P|GRWD1#P|UBE2C#P|C3orf14#P|STK10#P|NUP88#P|DDB2#P|TUBB6#P|PRIM1#P|CHKB#P|ENOPH1#P|OXA1L#P|BLCAP#P|TCERG1#P|DCTD#P|SMC3#P|CDC45#P|PCMT1#P|ADO#P|CDC20#P|MBOAT7#P|ME2#P|UBR7#P|MEF2C#P|JMJD6#P|CDC25B#P|SSBP2#P|USP1#P|SORBS3#P|TRAPPC6A#P|CDC25A#P|PRSS23#P|IDE#P|PARP1#P|RHEB#P|SMAD3#P|ASCC3#P|TNIP1#P|TRAP1#P|EBNA1BP2#P
flumazenil	GABRA1#P|GABRG2#P|GABRA5#P|GABRA1#P	MRPS2#P|PPARG#P
epinastine	HRH1#P|HRH2#P	E2F2#P|PCCB#P|CEP57#P|LAP3#P|BAG3#P|TFF1#P|STUB1#P
hexachlorophene	SDHD#P	CHMP4A#P|GTPBP8#P|SSBP2#P|IKZF1#P|GRWD1#P|ADO#P|ME2#P|TGFBR2#P
desvenlafaxine	SLC6A4#P|SLC6A2#P	TIMM9#P
acenocoumarol	VKORC1#P	TIMM9#P|SPP1#P|TGFBR2#P|TNIP1#P
chlormezanone	TSPO#P	ADGRE5#P|PAN2#P|NR3C1#P|CYCS#P
zaleplon	GABRA1#P|TSPO#P	SPP1#P|ZNF586#P|NR3C1#P|TIMM9#P|TNIP1#P|SGCB#P|SMC1A#P|WIF1#P
thalidomide	CRBN#P|TNF#P|NFKB1#P|FGFR2#P	TNIP1#P|SNCA#P|CANT1#P|TLR4#P|CYCS#P|SPP1#P|PDHX#P|AGL#P|CXCL2#P
digoxin	ATP1A1#P	ZNF44#P|CETN3#P|VAMP1#P|ECD#P|SETD2#P|SEC62#P|VCPKMT#P|ABL2#P|ZNF32#P|CCDC25#P|TXNDC9#P|IPPK#P|POLR2I#P|LIG1#P|PAF1#P|PMS1#P|ST6GALNAC2#P|HMG20B#P|UBL4A#P|HTATSF1#P|SMC5#P|POLR1C#P|OCEL1#P|PSIP1#P|AARS#P|NUFIP1#P|LINC00115#P|EGR1#P|AFF4#P|PLSCR1#P|HAX1#P|CYTH1#P|RABEPK#P|TMCO6#P|BRCA1#P|CHMP7#P|DENND2D#P|KAT6A#P|USP47#P|FBXO11#P|CCP110#P|ATP1B1#P|TMEM187#P|ITGAE#P|TMEM242#P|IER3#P|ST7#P|RNMT#P|ZDHHC6#P|NRAS#P|TMEM41B#P|ZNF207#P|FBXW7#P|STAT1#P|IL1RL1#P|FOSL1#P|EPN2#P|NFE2L2#P|RRN3#P|ASAH1#P|HUS1#P|EIF1B#P|TXNRD1#P|MTERF3#P|TSKU#P|GABPA#P|PAAF1#P|DNAJB14#P|SYNGR3#P|POLG2#P|CENPE#P|PHIP#P|TERF2IP#P|CEBPA#P|GNB5#P|PWP1#P|MRPS33#P|CDKN1B#P|ZNF688#P|KLRG1#P|STUB1#P|CTNNAL1#P|TARBP1#P|DYRK3#P|TMEM14A#P|RNASEH2A#P|ATP6V0B#P|YTHDC1#P|CLSTN1#P|HMGN4#P|UBQLN2#P|RPS6KA1#P|SDHB#P|ZC3H7A#P|KCNJ14#P|RIT1#P|SRSF11#P|RIDA#P|C6orf106#P|USP7#P|CDK4#P|LDAH#P|SERINC1#P|SLC25A46#P|RRP12#P|TNFRSF12A#P|CRKL#P|TCFL5#P|PAN2#P|XBP1#P|NABP2#P|AURKC#P|NFU1#P|HADH#P|POLR2K#P|CABP5#P|AGGF1#P|TWISTNB#P|OXSR1#P|SUV39H1#P|SPR#P|ZMYM2#P|ARL8B#P|CHMP4A#P|SKIV2L#P|YKT6#P|CCNA2#P|KCNK1#P|SCCPDH#P|MAP7#P|DCP1A#P|IGHMBP2#P|BAG3#P|ZMYM5#P|ZFAND3#P|ATMIN#P|TCEAL4#P|LGALS8#P|SRSF10#P|BNIP3#P|HMGCS1#P|RASSF1#P|DNAJB1#P|RAD9A#P|NFYA#P|GALE#P|KPNA1#P|RAP1GAP#P|THUMPD2#P|NUP58#P|CNOT4#P|ANGEL2#P|KIF5A#P|EIF1#P|LSM2#P|ZNF493#P|AKR7A2#P|HMOX1#P|ARIH2#P|EPRS#P|PTPN12#P|NIT2#P|SMARCA5#P|CDC25A#P|IGF2BP2#P|IARS2#P|CNDP2#P|PRSS23#P|MGAT4C#P|HSF2#P|ZNF143#P|INTS3#P|C17orf62#P|STAMBP#P|PASK#P|SMC1A#P|ZNF432#P|IKZF5#P|SCAF4#P|TFDP1#P|TOP2A#P|HSPA8#P|NR2F6#P|MRPS2#P|NUP37#P|METTL5#P|RFC4#P|USP12#P|HIST1H2BO#P|POU2F1#P|TP53#P|TCEA2#P|CAT#P|HIST2H2BE#P|IFT27#P|UGDH#P|LAGE3#P|NET1#P|CDR2#P|PHKA2#P|PPP2R5E#P|PARP1#P|GPATCH8#P|SLC12A4#P|SBNO1#P|COG7#P|RSU1#P|PSMD4#P|MCOLN1#P|TTLL1#P|BCS1L#P|CETN2#P|PDS5A#P|LIF#P|MTIF2#P|SGCB#P|CTTN#P|IL23A#P|GMEB1#P|CALM3#P|MBNL1#P|RAE1#P|TSEN2#P|ICMT#P|EHMT2#P|PAFAH1B3#P|FNBP4#P|NR2C2#P|STK25#P|DUSP14#P|MATN3#P|SMNDC1#P|CDKN2AIP#P|RPP40#P|ITGB3BP#P|CHIC2#P|E2F2#P|TMEM50A#P|SPAG9#P|MRPL15#P|LAMTOR3#P|KPNA6#P|HCFC2#P|TEC#P|RAB30#P|IGF2R#P|DARS2#P|RPIA#P|NMI#P|DYRK1A#P|PLGRKT#P|TTC31#P|FUBP1#P|TIPARP#P|FKRP#P|POP4#P|TSPAN6#P|FDFT1#P|DEFB1#P|ZNF335#P|TIMM9#P|CUEDC2#P|SLC11A2#P|DNPH1#P|UNG#P|LANCL1#P|KDM5A#P|RSF1#P|EPB41L2#P|IRGQ#P|C2CD5#P|DDI2#P|INTS8#P|RUVBL1#P|AKT1#P|ZNF10#P|PUM1#P|TLE1#P|LIPA#P|NSDHL#P|PIK3C2B#P|CDKN1A#P|PSMD9#P|KLHL18#P|RMDN1#P|SMAD3#P|HIST1H2BJ#P|CCNH#P|ZNF589#P|ICAM3#P|ANXA4#P|PICALM#P|COMMD3#P|RGS2#P|NIP7#P|RAD21#P|GTF2A2#P|HOXA5#P|CBLL1#P|ZNF430#P|CBR1#P|TP53BP1#P|RIOK3#P|OR5I1#P|ELOVL6#P|CSK#P|RSRC2#P|HIST1H2AE#P|FAM53C#P|PNP#P|KDM6B#P|TIMM22#P|PRPF38B#P|STX4#P|HIST1H2BG#P|KIF5C#P|HAUS4#P|CCDC88A#P|COG2#P|ABTB2#P|BLMH#P|CCDC85B#P|TMF1#P|RBM25#P|SMARCAL1#P|CHERP#P|MRPL24#P|RBM5#P|DDX10#P|ALG6#P|BCKDK#P|NR3C1#P|MAST2#P|BDH1#P|IP6K2#P|PEX11A#P|MED4#P|HSPB1#P|HELZ#P|RCOR1#P|EMC7#P|NPEPL1#P|PCBD1#P|PIK3R3#P|SNCA#P|MAP1LC3B#P|PYGL#P|ZNF586#P|CPOX#P|NTHL1#P|TOPORS#P|PFDN2#P|PCYOX1L#P|POLD4#P|LSM5#P|RBM15#P|TRMT1L#P|SPDEF#P|WDR33#P|TCP11L1#P|UBXN7#P|NAGA#P|TRAK2#P|TFF1#P|SIRT3#P|ACLY#P|NFATC3#P|SETDB1#P|MAP4K5#P|PSPC1#P|PRPH2#P|PYCR1#P|DNPEP#P|MOCS2#P|RLF#P|TBPL1#P|ROPN1B#P|DCAF13#P|ATP6V0C#P|KLHDC2#P|NOLC1#P|ARMC4#P|THYN1#P|CCDC92#P|ETFB#P|PNPO#P|PPP4R2#P|OR2S2#P|FPGT#P|ZNF136#P|KDM5B#P|DLX2#P|CANT1#P|DNAJC3#P|WIPF2#P|EDDM3A#P|PSME4#P|CTSL#P|CDK19#P|AOC2#P|RAD54L2#P|RAB31#P|MFSD11#P|IST1#P|CBR3#P|ZNF711#P|AHCTF1#P|ZBTB43#P|DHRS7#P|THOC2#P|ATP6V1D#P|BIRC5#P|URB2#P|XPO4#P|ADRB2#P|FKBP14#P|DECR1#P|TLK2#P|LYPLA1#P|NFKBIB#P|KLHL28#P|MPZL1#P|INPP1#P|GABPB1#P|RPS6#P|TRAP1#P|PNISR#P|EML3#P|FIP1L1#P|DDIT4#P|FOXO3#P|CPNE3#P|RITA1#P|ATG12#P|MLLT11#P|WIF1#P|CBS#P|UBAP1#P|MRPS16#P|SCYL3#P|MED17#P|THAP11#P|CRYZ#P|SIRT5#P|SLC25A13#P|YY1AP1#P|TST#P|POT1#P|YRDC#P|INSIG1#P|TMEM87A#P|CELF1#P|EBLN2#P|TRAPPC12#P|UBE2C#P|C3orf14#P|MSRB1#P|NUP88#P|DDB2#P|ACD#P|TOPBP1#P|B4GAT1#P|SLC35F5#P|PRIM1#P|DUS4L#P|ORC3#P|NCOA3#P|FAM46A#P|DLD#P|ORAI3#P|ABCB6#P|ARHGEF12#P|RPA3#P|BLCAP#P|TCERG1#P|HAUS7#P|DCTD#P|MKLN1#P|SAT1#P|NIPSNAP1#P|GH2#P|SKIL#P|EXOG#P|FOXJ3#P|ADO#P|ARHGAP1#P|RYBP#P|RFX5#P|ASXL1#P|SNIP1#P|AKIRIN1#P|GAPVD1#P|ZFP64#P|EED#P|BTRC#P|PCNA#P|PPP4R3B#P|JMJD6#P|ATAD2B#P|CREBBP#P|MIR22HG#P|NPC1#P
darifenacin	CHRM3#P	CANT1#P|LAP3#P|AMDHD2#P|PCCB#P
indapamide	SLC12A3#P	CXCL2#P
phentermine	SLC6A2#P|SLC6A4#P|SLC6A3#P|MAOA#P|MAOB#P	WIF1#P|STUB1#P|CTNNAL1#P|KDM5A#P|FZD7#P|LSM5#P
fenoterol	ADRB2#P	SPP1#P
amiloride	SCNN1A#P|SCNN1B#P|SCNN1G#P|SCNN1D#P	BAD#P|RRS1#P|ACAT2#P|CYCS#P|PCCB#P|GNAI1#P|VAV3#P
mepyramine	HRH1#P	RNF167#P|FOS#P|E2F2#P|DNAJB6#P|ST3GAL5#P|DNM1L#P|SNCA#P|BAD#P|ADGRE5#P|ZNF586#P|PRKCQ#P|TXNDC9#P|MAP7#P|LSM5#P|MBOAT7#P|MYLK#P|ME2#P|CDKN1B#P|AGL#P|CTNNAL1#P|GNAI1#P|NR3C1#P|ABHD6#P|MAP2K5#P
melatonin	MTNR1A#P|MTNR1B#P	TLR4#P|MAP7#P|HMG20B#P
ranolazine	SCN5A#P	SMC1A#P|TGFBR2#P|IKZF1#P|MAST2#P|MAP2K5#P
cladribine	RRM1#P|RRM2#P|RRM2B#P|POLA1#P|POLE#P|POLE2#P|POLE3#P|POLE4#P|PNP#P	C2CD5#P|HMG20B#P
thiothixene	DRD2#P|DRD1#P|HTR2A#P	VAV3#P|HMG20B#P|GNAI1#P|WIF1#P|DNM1L#P
buspirone	HTR1A#P|DRD2#P	TLR4#P|SPP1#P|APBB2#P
canagliflozin	SLC5A2#P	DNM1L#P|BAD#P|ZNF586#P|APBB2#P|TIMM9#P|STUB1#P|SPP1#P
spironolactone	NR3C2#P	KIF20A#P|SUV39H1#P|CANT1#P|WIF1#P|AGL#P
ketoprofen	PTGS2#P	DNM1L#P|SGCB#P|TLR4#P|PDHX#P|PRPF4#P
alvimopan	OPRM1#P	MAST2#P
bexarotene	RXRA#P|RXRB#P|RXRG#P	RAP1GAP#P|ITGB1BP1#P|GOLT1B#P|GTPBP8#P|SUV39H1#P
danazol	ESR1#P|AR#P|PGR#P|GNRHR#P	SPP1#P
oxandrolone	AR#P	SGCB#P|SNCA#P|MRPS2#P|ADGRE5#P|CHMP6#P|CYCS#P|STK10#P|VAV3#P|AKR7A2#P
temazepam	GABRA1#P|GABRA2#P|GABRA3#P|GABRA4#P|GABRA5#P|GABRA6#P|GABRB1#P|GABRB2#P|GABRB3#P|GABRG1#P|GABRG2#P|GABRG3#P|GABRD#P|GABRE#P|GABRP#P|GABRR1#P|GABRR2#P|GABRR3#P|GABRQ#P|GABRA1#P	NPEPL1#P|MRPS2#P|HMG20B#P|DCK#P|PRKCH#P
lamotrigine	CACNA1E#P	PPP2R5E#P|STUB1#P|LSM5#P|ADGRE5#P|VAV3#P|GDF15#P|FZD7#P
tamoxifen	ESR1#P|ESR2#P	NOLC1#P|CHMP6#P|MYLK#P|FDFT1#P|ME2#P|TUBB6#P|TFF1#P|PRSS23#P|BAMBI#P|FZD7#P|TIMM9#P
ribavirin	IMPDH1#P	SNAP25#P|GNAI1#P|PPARG#P
probenecid	SLC22A6#P|SLC22A11#P|SLC22A8#P	SUV39H1#P|MYLK#P|VAT1#P|HS2ST1#P
tetrabenazine	SLC18A2#P	EPHB2#P|DNM1L#P|CANT1#P|BAD#P|ACAT2#P|GNAI1#P|DCK#P
reserpine	SLC18A2#P	SPP1#P|IKZF1#P
ipratropium	CHRM1#P|CHRM2#P|CHRM3#P	PAK1#P|ST3GAL5#P|DNM1L#P|IARS2#P
rosiglitazone	PPARG#P	PCCB#P|RFX5#P
cyanocobalamin	MTR#P|MUT#P	SNX13#P|HS2ST1#P|SUV39H1#P|SNCA#P|BAD#P|MRPS2#P|MBOAT7#P|AGL#P|FKBP14#P|DCK#P|VAV3#P
vorinostat	HDAC1#P|HDAC2#P|HDAC3#P|HDAC6#P	GLRX#P|PUF60#P
tretinoin	RXRB#P|RXRG#P|RARG#P	LAMA3#P|KLHDC2#P|DUSP4#P|BAG3#P|TSC22D3#P|ST6GALNAC2#P|RAP1GAP#P|PLSCR1#P|DNAJC7#P|FBRS#P|FOXO3#P|TLE1#P|GDPD5#P|CAST#P|ATP1B1#P|NRIP1#P|ARHGEF4#P|TRAPPC3#P|HSP90AA1#P|DNAJB2#P|TICAM1#P|SMAD3#P|PRSS23#P|HOXA5#P|TSKU#P|COL5A1#P|CEBPA#P|CLIC4#P|TECPR2#P|BAMBI#P|TSPAN4#P|NOSIP#P|PRKCD#P|SPDEF#P|RAD23B#P|PLPPR3#P|TIAM1#P|HSPA1A#P
